time,open,high,low,close,volume,rsi,macd,macd_sig,mh,sk,sd,e9,e21,e50,tp_p,date_utc,vwap
2026-04-11 17:30:00,72794.55,72844.12,72794.55,72820.0,2.76531,55.84512210904948,4.444199257428409,-12.186242157627706,16.630441415056115,82.19291458774943,86.33753572098595,72778.15989767989,72762.75227956279,72784.94943454115,72819.55666666666,2026-04-11,72876.76987472872
2026-04-11 17:35:00,72820.0,72829.69,72802.58,72829.66,4.11189,56.74806053980626,8.903336031959043,-7.968326519710357,16.8716625516694,85.3309757936285,84.57619161607543,72788.45991814391,72768.83479960254,72786.70279004934,72820.64333333334,2026-04-11,72876.58483553579
2026-04-11 17:40:00,72829.66,72829.66,72798.43,72808.77,1.08429,54.16834957164679,10.629060444684,-4.248849126831486,14.877909571515486,86.58153481585884,84.70180839907897,72792.52193451513,72772.46527236595,72787.56817083173,72812.28666666667,2026-04-11,72876.5289858647
2026-04-11 17:45:00,72807.22,72881.47,72794.54,72794.54,6.90185,52.42023406172143,10.724838141890359,-1.2541116730871167,11.978949814977476,79.3640230081469,83.75884453921145,72792.9255476121,72774.47206578722,72787.84157589715,72823.51666666666,2026-04-11,72876.23749543031
2026-04-11 17:50:00,72791.33,72875.04,72779.22,72865.26,6.07428,59.42790900739588,16.319138752049184,2.2605384119401437,14.058600340109042,81.76187552724019,82.56914445041535,72807.39243808968,72782.72551435202,72790.87759252865,72839.84000000001,2026-04-11,72876.06220762251
2026-04-11 17:55:00,72865.26,72908.69,72865.25,72893.77,7.20026,61.86628362148256,22.79046670871321,6.366524071294758,16.423942637418453,88.77071831260548,83.29887228266423,72824.66795047175,72792.82046759274,72794.91258890007,72889.23666666668,2026-04-11,72876.13698912496
2026-04-11 18:00:00,72893.77,72915.21,72856.48,72907.25,20.74682,62.99860193010823,28.67620266666927,10.82845979036966,17.84774287629961,99.99999999938878,90.17753127974485,72841.1843603774,72803.22315235704,72799.31797757067,72892.98,2026-04-11,72876.40803251915
2026-04-11 18:05:00,72907.25,72909.22,72861.74,72881.48,6.25509,59.36924144001164,30.905013429553946,14.843770518206519,16.061242911347428,92.51865538134145,93.76312456444528,72849.24348830193,72810.33741123368,72802.54001766595,72884.14666666667,2026-04-11,72876.4453973853
2026-04-11 18:10:00,72881.47,72919.65,72881.47,72918.71,2.85402,62.71148139404954,35.26895333289576,18.92880708114437,16.340146251751392,91.92680244114108,94.81515260729047,72863.13679064155,72820.18946475787,72807.09570324767,72906.61,2026-04-11,72876.51170516062
2026-04-11 18:15:00,72918.7,72966.83,72894.36,72945.87,8.68616,64.97499111004782,40.452678860223386,23.233581436960176,17.21909742326321,91.92680244114355,92.12408675454208,72879.68343251324,72831.61496796171,72812.53783253208,72935.68666666666,2026-04-11,72876.90496519637
